"범죄별(1)",범죄별(2),범죄별(3),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"범죄별(1)",범죄별(2),범죄별(3),합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범
"범죄별(1)",범죄별(2),범죄별(3),소계,소계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,소계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,소계,소계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,소계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과
"형법범",강력범죄(폭력),폭력행위 등(단체 등의 구성ㆍ활동),412,111,1,10,13,34,29,8,16,301,5,13,19,87,50,51,76,304,118,2,3,6,37,21,18,31,186,2,14,6,50,14,24,76
"형법범",위조범죄,소계,3549,660,56,38,69,240,68,79,110,2889,66,73,110,531,269,324,1516,3565,715,62,50,70,263,84,71,115,2850,65,91,106,472,277,339,1500
"형법범",위조범죄,통화,19,4,-,-,-,1,-,1,2,15,-,1,-,4,-,2,8,5,2,1,0,0,0,0,0,1,3,0,0,0,0,1,1,1
"형법범",위조범죄,유가증권ㆍ인지ㆍ우표,20,2,-,-,-,-,-,1,1,18,-,1,-,2,3,-,12,21,3,0,0,0,1,1,1,0,18,1,0,2,3,0,4,8
"형법범",위조범죄,문서,3309,634,53,36,69,233,67,76,100,2675,64,61,107,501,248,303,1391,3351,690,57,49,68,258,79,68,111,2661,58,83,94,441,265,311,1409
"형법범",위조범죄,인장,201,20,3,2,-,6,1,1,7,181,2,10,3,24,18,19,105,188,20,4,1,2,4,4,2,3,168,6,8,10,28,11,23,82
"형법범",공무원범죄,소계,292,15,-,-,-,5,1,2,7,277,5,3,6,25,16,15,207,288,18,0,0,0,5,0,3,10,270,3,3,4,32,18,24,186
"형법범",공무원범죄,직무유기,16,1,-,-,-,1,-,-,-,15,-,-,-,-,1,-,14,13,0,0,0,0,0,0,0,0,13,0,0,0,4,2,0,7
"형법범",공무원범죄,직권남용,31,-,-,-,-,-,-,-,-,31,-,-,-,2,1,1,27,20,2,0,0,0,0,0,1,1,18,0,0,2,2,0,0,14
"형법범",공무원범죄,수뢰,138,8,-,-,-,3,1,2,2,130,4,2,4,16,2,6,96,185,11,0,0,0,3,0,2,6,174,3,2,1,20,12,19,117
"형법범",공무원범죄,증뢰,107,6,-,-,-,1,-,-,5,101,1,1,2,7,12,8,70,70,5,0,0,0,2,0,0,3,65,0,1,1,6,4,5,48
"형법범",풍속범죄,소계,10916,2401,26,52,70,337,287,262,1367,8515,45,103,166,801,662,889,5849,8989,2159,22,27,65,311,251,318,1165,6830,42,78,113,730,534,742,4591
"형법범",풍속범죄,도박과 복표,9674,2039,16,36,48,249,226,207,1257,7635,37,79,128,682,562,779,5368,7846,1777,10,18,40,223,189,248,1049,6069,29,55,89,610,465,647,4174
"형법범",풍속범죄,신앙,73,2,-,1,-,1,-,-,-,71,-,2,3,9,7,6,44,60,3,0,0,0,2,0,0,1,57,1,0,2,7,5,10,32
"형법범",풍속범죄,기타 음란행위,1169,360,10,15,22,87,61,55,110,809,8,22,35,110,93,104,437,1083,379,12,9,25,86,62,70,115,704,12,23,22,113,64,85,385
"형법범",과실범죄,소계,3987,195,4,11,8,41,19,29,83,3792,20,43,61,301,263,310,2794,3949,190,8,6,11,26,20,22,97,3759,28,34,58,255,244,294,2846
"형법범",과실범죄,과실치사상,836,37,2,-,2,11,3,4,15,799,4,9,16,71,68,72,559,814,52,2,3,5,7,6,6,23,762,5,12,19,53,55,57,561
"형법범",과실범죄,업무상 과실치사상,2193,135,1,8,3,24,13,24,62,2058,11,12,23,146,132,161,1573,2104,125,5,3,5,17,12,14,69,1979,15,15,21,125,120,156,1527
"형법범",과실범죄,실화,958,23,1,3,3,6,3,1,6,935,5,22,22,84,63,77,662,1031,13,1,0,1,2,2,2,5,1018,8,7,18,77,69,81,758
"형법범",기타 형법범죄,소계,39283,6208,363,462,516,1603,958,801,1505,33075,489,861,1128,4891,3556,3775,18375,39324,6479,304,424,468,1621,985,977,1700,32845,426,792,1099,4450,3577,4010,18491
"형법범",기타 형법범죄,명예,8577,847,45,61,61,250,95,104,231,7730,117,144,204,986,731,818,4730,8313,888,49,58,67,256,106,113,239,7425,92,145,204,866,637,822,4659
"형법범",기타 형법범죄,권리행사 방해,1539,106,7,13,9,30,17,13,17,1433,13,34,45,256,116,166,803,1300,91,13,7,5,29,10,10,17,1209,19,28,53,203,118,145,643
"형법범",기타 형법범죄,신용업무 경매,11605,2494,150,176,204,656,444,315,549,9111,146,224,335,1330,994,1012,5070,12131,2598,111,169,172,675,413,412,646,9533,116,231,338,1277,1084,1201,5286
"형법범",기타 형법범죄,주거 침입,7792,1087,97,107,122,279,144,106,232,6705,115,223,260,1055,802,764,3486,6947,913,71,81,95,260,134,123,149,6034,95,169,219,840,744,698,3269
"형법범",기타 형법범죄,비밀침해,20,1,-,-,-,-,-,1,-,19,-,-,-,1,-,3,15,20,0,0,0,0,0,0,0,0,20,0,0,0,5,1,1,13
"형법범",기타 형법범죄,유기,51,7,1,-,-,1,1,-,4,44,-,-,-,5,3,5,31,58,4,0,1,1,0,0,1,1,54,0,0,0,4,2,6,42
"형법범",기타 형법범죄,교통방해,808,80,3,3,7,28,7,9,23,728,5,6,16,62,56,75,508,707,101,0,7,7,19,10,10,48,606,2,8,15,49,49,74,409
"형법범",기타 형법범죄,공무방해,7399,1463,53,91,110,331,237,226,415,5936,76,192,227,957,727,768,2989,8389,1713,50,97,107,341,295,276,547,6676,70,181,236,984,823,913,3469
"형법범",기타 형법범죄,도주와 범인 은닉,208,16,-,2,2,2,4,1,5,192,2,5,8,43,21,22,91,192,6,1,0,0,3,1,1,0,186,3,5,10,30,22,31,85
"형법범",기타 형법범죄,위증과 증거인멸,277,7,-,1,-,2,2,1,1,270,2,2,6,33,27,34,166,260,9,0,0,2,1,1,2,3,251,2,3,0,41,15,26,164
"형법범",기타 형법범죄,무고,691,51,7,5,-,15,4,10,10,640,12,21,25,111,63,78,330,669,52,5,3,6,14,3,7,14,617,19,18,18,124,56,71,311
"형법범",기타 형법범죄,공안을 해하는 죄,308,49,-,3,1,9,3,15,18,259,1,10,2,50,16,29,151,320,104,4,1,6,23,12,22,36,216,8,4,6,26,23,21,128
"형법범",기타 형법범죄,내란의죄,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"형법범",기타 형법범죄,음용수에 관한 죄,4,-,-,-,-,-,-,-,-,4,-,-,-,1,-,-,3,12,0,0,0,0,0,0,0,0,12,0,0,0,0,2,1,9
"형법범",기타 형법범죄,일수와 수리에 관한 죄,3,-,-,-,-,-,-,-,-,3,-,-,-,1,-,-,2,5,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,4
"형법범",기타 형법범죄,기타,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"특별법범",소계,소계,244373,70582,1524,2421,2992,10978,7021,7778,37868,173791,1633,3279,4624,21330,16465,18046,108414,259617,73053,1616,2620,3090,11286,6932,7765,39744,186564,1840,3574,4897,21335,17696,21160,116062
"특별법범",가정폭력범죄의 처벌 등에 관한 특례법,소계,665,197,44,48,26,55,8,8,8,468,27,43,35,87,42,57,177,840,256,53,46,33,77,19,11,17,584,38,70,39,94,45,59,239
"특별법범",가축분뇨의관리및이용에관한법률,소계,357,127,1,6,11,36,12,11,50,230,1,1,3,21,24,17,163,331,119,1,5,11,36,17,12,37,212,1,2,5,12,14,17,161
"특별법범",감염병의예방및관리에관한법률,소계,12476,528,60,79,83,166,38,42,60,11948,62,126,199,1170,1098,1327,7966,20194,1386,112,212,241,556,101,63,101,18808,119,219,304,1776,1790,2311,12289
"특별법범",개발제한구역의 지정 및 관리에 관한 특별조치법,소계,302,102,3,1,4,29,9,10,46,200,2,1,2,23,8,16,148,219,78,1,1,1,17,13,9,36,141,1,3,8,16,8,10,95
"특별법범",개인정보보호법,소계,552,23,2,1,1,8,1,5,5,529,7,8,13,59,28,52,362,534,23,3,0,1,5,1,2,11,511,9,3,9,57,43,89,301
"특별법범",건강기능식품에관한법률,소계,43,3,-,-,-,1,1,-,1,40,1,1,1,4,2,2,29,44,0,0,0,0,0,0,0,0,44,0,0,0,3,3,3,35
"특별법범",건설기계 관리법,소계,212,34,1,-,2,5,4,7,15,178,3,1,5,18,12,15,124,294,26,0,2,0,6,1,1,16,268,0,0,3,16,11,19,219
"특별법범",건설산업 기본법,소계,510,57,1,-,1,17,7,11,20,453,3,8,11,77,30,47,277,588,34,1,2,0,17,4,3,7,554,11,4,8,84,42,61,344
"특별법범",건축법,소계,1341,138,1,4,5,34,14,18,62,1203,5,15,22,129,74,105,853,1113,92,2,2,8,23,6,8,43,1021,10,14,25,87,67,86,732
"특별법범",게임산업진흥에관한법률,소계,2371,669,20,23,47,175,82,95,227,1702,18,13,31,160,129,190,1161,2496,734,14,35,39,141,126,130,249,1762,14,11,25,159,149,200,1204
"특별법범",결혼중개업의관리에관한법률,소계,18,6,-,-,-,4,1,-,1,12,-,-,-,1,1,1,9,15,4,0,0,0,0,0,2,2,11,0,0,1,2,3,1,4
"특별법범",경범죄처벌법,소계,4348,653,43,69,75,187,115,70,94,3695,74,138,177,693,492,458,1663,4971,715,47,59,89,208,101,88,123,4256,63,142,180,727,542,603,1999
"특별법범",고용보험법,소계,206,4,-,1,-,1,-,-,2,202,-,1,3,15,14,8,161,194,3,0,0,0,1,0,1,1,191,0,1,1,14,11,11,153
"특별법범",공유수면관리및매립에관한법률,소계,143,16,-,1,-,2,3,6,4,127,1,-,3,20,12,8,83,180,20,0,0,0,6,6,0,8,160,0,2,5,16,17,12,108
"특별법범",공유재산및물품관리법,소계,69,8,-,-,1,-,1,-,6,61,1,1,1,5,4,8,41,62,4,0,1,0,1,0,0,2,58,0,2,1,4,8,7,36
"특별법범",공인중개사법,소계,479,54,3,1,3,11,4,6,26,425,3,4,2,38,26,38,314,494,55,0,0,3,14,7,3,28,439,2,0,4,36,16,34,347
"특별법범",공중위생관리법,소계,582,267,28,39,34,78,38,26,24,315,3,5,4,23,23,36,221,567,245,15,34,25,98,32,20,21,322,0,4,8,28,15,34,233
"특별법범",공직선거법,소계,97,10,-,-,-,6,2,1,1,87,-,-,4,4,8,10,61,1426,142,2,3,2,20,21,16,78,1284,5,13,18,95,65,121,967
"특별법범",관세법,소계,19,3,-,-,-,-,1,-,2,16,-,-,-,-,2,5,9,8,1,0,0,1,0,0,0,0,7,0,0,1,0,0,1,5
"특별법범",교통사고 처리특례법,소계,35746,8441,95,200,272,989,827,914,5144,27305,156,329,500,2185,1986,2296,19853,30941,7236,65,142,207,693,638,806,4685,23705,134,299,416,1815,1749,2071,17221
"특별법범",국가기술자격법,소계,52,1,-,-,-,-,1,-,-,51,1,-,1,2,4,2,41,49,2,0,0,0,1,0,0,1,47,0,0,0,2,5,1,39
"특별법범",국가보안법,소계,34,5,-,-,1,-,-,2,2,29,-,-,-,2,7,2,18,18,7,0,0,0,0,0,2,5,11,1,0,1,0,2,0,7
"특별법범",국민체육진흥법,소계,421,48,1,1,1,17,4,7,17,373,4,10,9,83,44,36,187,278,48,4,0,4,10,10,10,10,230,4,9,10,50,26,40,91
"특별법범",국토의계획및이용에관한법률,소계,895,107,8,2,7,21,19,22,28,788,8,10,13,74,61,58,564,957,97,6,4,9,28,13,10,27,860,6,9,24,96,52,69,604
